,Date,Change 1yr Treasury,Change 5yr Treasury,Change 10yr Treasury,Change 30yr Treasury,Change Implied Fed Fund,Change SP500,Change SP500 Finance
0,2019-09-18,-0.1299999999999999,-0.16000000000000014,-0.21999999999999997,-0.2799999999999998,-0.26249999999999996,26.34999999999991,2.430000000000007
1,2019-07-31,0.040000000000000036,0.07000000000000006,-0.009999999999999787,-0.010000000000000231,-0.20750000000000002,53.92000000000007,18.189999999999998
2,2019-06-19,-0.43000000000000016,-0.54,-0.4900000000000002,-0.3799999999999999,-0.03750000000000009,2.730000000000018,-9.710000000000036
3,2019-05-01,-0.08000000000000007,-0.029999999999999805,-0.020000000000000018,-0.06000000000000005,-0.00749999999999984,99.5,26.57000000000005
4,2019-03-20,-0.09999999999999964,-0.15000000000000036,-0.16000000000000014,-0.08000000000000007,0.0024999999999999467,143.17999999999984,3.339999999999975
5,2019-01-30,-0.050000000000000266,-0.1299999999999999,-0.06999999999999984,0.06000000000000005,0.0024999999999999467,174.09000000000015,41.06
6,2018-12-19,-0.1200000000000001,-0.46999999999999975,-0.4700000000000002,-0.43000000000000016,0.19499999999999984,-299.8699999999999,-63.69
7,2018-11-08,0.16000000000000014,0.1299999999999999,0.18000000000000016,0.2400000000000002,0.03000000000000025,-99.13999999999987,-10.970000000000027
8,2018-09-26,0.1299999999999999,0.08999999999999986,0.06000000000000005,0.06000000000000005,0.25749999999999984,92.60999999999967,0.8300000000000409
9,2018-08-01,0.10000000000000009,0.020000000000000018,0.020000000000000018,0.029999999999999805,0.09749999999999992,37.73000000000002,3.0299999999999727
10,2018-06-13,0.10999999999999988,0.050000000000000266,0.009999999999999787,-0.040000000000000036,0.11499999999999999,139.96000000000004,10.5
11,2018-05-02,0.18000000000000016,0.10999999999999988,0.08000000000000007,0.020000000000000018,0.025000000000000133,-76.25999999999976,-26.70999999999998
12,2018-03-21,0.16000000000000014,0.16999999999999993,0.16999999999999993,0.16999999999999993,0.26,-111.88000000000011,-16.439999999999998
